Index,Name,Type,Category,Contest,PP,Power,Accuracy,Generation,Implementation,Effect
1,Pound,Normal,Physical,Tough,35,40,100,1,Y,N/A
2,Karate Chop,Fighting,Physical,Tough,25,50,100,1,Y,High-Crit
3,Double Slap,Normal,Physical,Cute,10,15,85,1,T,Multi-Hit
4,Comet Punch,Normal,Physical,Tough,15,18,85,1,T,Multi-Hit
5,Mega Punch,Normal,Physical,Tough,20,80,85,1,Y,N/A
6,Pay Day,Normal,Physical,Clever,20,40,100,1,Y,N/A
7,Fire Punch,Fire,Physical,Tough,15,75,100,1,Y,BRN10
8,Ice Punch,Ice,Physical,Beautiful,15,75,100,1,Y,FRZ10
9,Thunder Punch,Electric,Physical,Cool,15,75,100,1,Y,PRZ10
10,Scratch,Normal,Physical,Tough,35,40,100,1,Y,N/A
11,Vice Grip,Normal,Physical,Tough,30,55,100,1,Y,N/A
12,Guillotine,Normal,Physical,Cool,5,None,None,1,NN,OHKO
13,Razor Wind,Normal,Special,Cool,10,80,None,1,T,2Turn
14,Swords Dance,Normal,Status,Beautiful,20,None,None,1,Y,N/A
15,Cut,Normal,Physical,Cool,30,50,95,1,Y,N/A
16,Gust,Flying,Special,Clever,35,40,100,1,Y,2xAirborne
17,Wing Attack,Flying,Physical,Cool,35,60,100,1,Y,N/A
18,Whirlwind,Normal,Status,Clever,20,None,None,1,NN,Switch
19,Fly,Flying,Physical,Clever,15,90,95,1,T,2Turn
20,Bind,Normal,Physical,Tough,20,15,None,1,T,Trap
21,Slam,Normal,Physical,Tough,20,80,75,1,Y,N/A
22,Vine Whip,Grass,Physical,Cool,25,45,100,1,Y,N/A
23,Stomp,Normal,Physical,Tough,20,65,100,1,YNS,Flinch30
24,Double Kick,Fighting,Physical,Cool,30,30,100,1,T,2Hit
25,Mega Kick,Normal,Physical,Cool,5,120,75,1,Y,N/A
26,Jump Kick,Fighting,Physical,Cool,10,100,95,1,YNS,Crash
27,Rolling Kick,Fighting,Physical,Cool,15,60,85,1,YNS,Flinch30
28,Sand Attack,Ground,Status,Cute,15,None,100,1,N,ACC Drop
29,Headbutt,Normal,Physical,Tough,15,70,100,1,YNS,Flinch30
30,Horn Attack,Normal,Physical,Cool,25,65,100,1,Y,N/A
31,Fury Attack,Normal,Physical,Cool,20,15,85,1,T,Multi-Hit
32,Horn Drill,Normal,Physical,Cool,5,None,None,1,NN,OHKO
33,Tackle,Normal,Physical,Tough,35,40,None,1,Y,N/A
34,Body Slam,Normal,Physical,Tough,15,85,100,1,YNS,PRZ10
35,Wrap,Normal,Physical,Tough,20,15,None,1,T,Trap
36,Take Down,Normal,Physical,Tough,20,90,85,1,YNS,Recoil4
37,Thrash,Normal,Physical,Tough,10,120,100,1,YNS,Thrash-like
38,Double-Edge,Normal,Physical,Tough,15,120,100,1,YNS,Recoil3
39,Tail Whip,Normal,Status,Cute,30,None,100,1,Y,DEFdrop
40,Poison Sting,Poison,Physical,Clever,35,15,100,1,YNS,PSN30
41,Twineedle,Bug,Physical,Cool,20,25,100,1,T,2Hit
42,Pin Missile,Bug,Physical,Cool,20,25,None,1,T,Multi-Hit
43,Leer,Normal,Status,Cool,30,None,100,1,Y,DEFdrop
44,Bite,Dark,Physical,Tough,25,60,100,1,N,Flinch30
45,Growl,Normal,Status,Cute,40,None,100,1,Y,ATKdrop
46,Roar,Normal,Status,Cool,20,None,None,1,NN,Switch
47,Sing,Normal,Status,Cute,15,None,55,1,Y,SLP Inflict
48,Supersonic,Normal,Status,Clever,20,None,55,1,N,Confuse Inflict
49,Sonic Boom,Normal,Special,Cool,20,None,90,1,N,SetDamage
50,Disable,Normal,Status,Clever,20,None,None,1,N,Disable
51,Acid,Poison,Special,Clever,30,40,100,1,YNS,SpdefDrop10
52,Ember,Fire,Special,Cute,25,40,100,1,YNS,BRN10
53,Flamethrower,Fire,Special,Beautiful,15,90,100,1,YNS,BRN10
54,Mist,Ice,Status,Beautiful,30,None,None,1,N,Status Protection
55,Water Gun,Water,Special,Cute,25,40,100,1,Y,N/A
56,Hydro Pump,Water,Special,Beautiful,5,110,80,1,Y,N/A
57,Surf,Water,Special,Beautiful,15,90,100,1,Y,N/A
58,Ice Beam,Ice,Special,Beautiful,10,90,100,1,YNS,FRZ10
59,Blizzard,Ice,Special,Beautiful,5,110,None,1,YNS,FRZ10
60,Psybeam,Psychic,Special,Beautiful,20,65,100,1,YNS,Confuse10
61,Bubble Beam,Water,Special,Beautiful,20,65,100,1,YNS,SpeedDrop10
62,Aurora Beam,Ice,Special,Beautiful,20,65,100,1,YNS,AttackDrop10
63,Hyper Beam,Normal,Special,Cool,5,150,90,1,YNS,Recharge
64,Peck,Flying,Physical,Cool,35,35,100,1,Y,N/A
65,Drill Peck,Flying,Physical,Cool,20,80,100,1,Y,N/A
66,Submission,Fighting,Physical,Cool,20,80,80,1,YNS,Recoil4
67,Low Kick,Fighting,Physical,Tough,20,None,None,1,NN,Weight
68,Counter,Fighting,Physical,Tough,20,None,100,1,N,Physical Retaliation 
69,Seismic Toss,Fighting,Physical,Tough,20,None,100,1,N,SetDamage
70,Strength,Normal,Physical,Tough,15,80,100,1,Y,N/A
71,Absorb,Grass,Special,Clever,25,20,100,1,YNS,Absorb
72,Mega Drain,Grass,Special,Clever,15,40,100,1,YNS,Absorb
73,Leech Seed,Grass,Status,Clever,10,None,90,1,N,Absorb
74,Growth,Normal,Status,Beautiful,20,None,None,1,Y,Atk and Spatk Boost
75,Razor Leaf,Grass,Physical,Cool,25,55,95,1,YNS,High-Crit
76,Solar Beam,Grass,Special,Cool,10,120,100,1,T,2Turn
77,Poison Powder,Poison,Status,Clever,35,None,75,1,Y,PSN Inflict
78,Stun Spore,Grass,Status,Clever,30,None,75,1,Y,PRZ Inflict
79,Sleep Powder,Grass,Status,Clever,15,None,75,1,Y,SLP Inflict
80,Petal Dance,Grass,Special,Beautiful,10,120,100,1,T,Thrash-like
81,String Shot,Bug,Status,Clever,40,None,95,1,Y,Speed Drop
